0       c0      15
0       c2      16
0       c1      17
22249   81      61      0
22250   91      68      80
22749   81      68      0
22749   80      84      0
22750   90      76      80
22750   91      61      80
22999   80      76      0
22999   82      56      0
23000   92      52      80
23000   90      77      80
23249   82      52      0
23250   92      55      80
23499   80      77      0
23500   90      77      80
23749   82      55      0
23749   81      61      0
23750   91      65      80
23750   92      53      80
23999   81      65      0
24000   91      72      127
24499   81      72      0
24499   80      77      0
24500   91      65      80
24500   90      77      80
24749   82      53      0
24749   80      77      0
24750   90      73      80
24750   92      58      80
24999   82      58      0
25000   92      48      80
25249   80      73      0
25250   90      82      80
25499   82      48      0
25499   81      65      0
25500   91      67      127
25500   92      60      127
25749   81      67      0
25750   91      60      80
26249   81      60      0
26249   80      82      0
26250   91      61      80
26250   90      77      80
26499   80      77      0
26499   82      60      0
26500   90      76      80
26500   92      53      80
26749   82      53      0
26750   92      60      80
26999   80      76      0
27000   90      80      127
27249   81      61      0
27249   82      60      0
27250   92      53      80
27250   91      60      80
27499   81      60      0
27500   91      70      80
27999   80      80      0
27999   81      70      0
28000   90      76      80
28000   91      72      80
28249   82      53      0
28249   80      76      0
28250   90      80      80
28250   92      49      80
28499   82      49      0
28500   92      60      127
28749   80      80      0
28750   90      79      80
28999   82      60      0
28999   81      72      0
29000   91      68      80
29000   92      49      80
29249   81      68      0
29250   91      68      80
29749   80      79      0
29749   81      68      0
29750   91      64      80
29750   90      72      80
29999   82      49      0
29999   80      72      0
30000   92      49      127
30000   90      73      127
30249   82      49      0
30250   92      60      80
30499   80      73      0
30500   90      79      80
30749   81      64      0
30749   82      60      0
30750   92      49      80
30750   91      60      80
30999   81      60      0
31000   91      61      80
31499   81      61      0
31499   80      79      0
31500   91      67      127
31500   90      77      127
31749   82      49      0
31749   80      77      0
31750   90      72      80
31750   92      49      80
31999   82      49      0
32000   92      52      80
32249   80      72      0
32250   90      79      80
32499   81      67      0
32499   82      52      0
32500   91      70      80
32500   92      60      80
32749   81      70      0
32750   91      64      80
33249   81      64      0
33249   80      79      0
33250   90      76      80
33250   91      72      80
33499   80      76      0
33499   82      60      0
33500   92      55      80
33500   90      84      80
33749   82      55      0
33750   92      60      80
33999   80      84      0
34000   90      80      80
34249   82      60      0
34249   81      72      0
34250   92      53      80
34250   91      64      80
34499   81      64      0
34500   91      72      127
34999   81      72      0
34999   80      80      0
35000   91      70      80
35000   90      76      80
35249   80      76      0
35249   82      53      0
35250   90      72      80
35250   92      53      80
35499   82      53      0
35500   92      48      80
35749   80      72      0
35750   90      82      80
35999   82      48      0
35999   81      70      0
36000   92      52      127
36000   91      68      127
36249   81      68      0
36250   91      64      80
36749   81      64      0
36749   80      82      0
36750   90      76      80
36750   91      68      80
36999   82      52      0
36999   80      76      0
37000   92      52      80
37000   90      79      80
37249   82      52      0
37250   92      56      80
37499   80      79      0
37500   90      73      127
37749   81      68      0
37749   82      56      0
37750   92      48      80
37750   91      61      80
37999   81      61      0
38000   91      61      80
38499   81      61      0
38499   80      73      0
38500   91      68      80
38500   90      73      80
38749   80      73      0
38749   82      48      0
38750   90      76      80
38750   92      53      80
38999   82      53      0
39000   92      58      127
39249   80      76      0
39250   90      73      80
39499   81      68      0
39499   82      58      0
39500   92      49      80
39500   91      67      80
39749   81      67      0
39750   91      72      80
40249   80      73      0
40249   81      72      0
40250   90      82      80
40250   91      72      80
40499   80      82      0
40499   82      49      0
40500   90      80      127
40500   92      52      127
40749   82      52      0
40750   92      48      80
40999   80      80      0
41000   90      77      80
41249   81      72      0
41249   82      48      0
41250   92      60      80
41250   91      60      80
41499   81      60      0
41500   91      67      80
41999   81      67      0
41999   80      77      0
42000   91      65      127
42000   90      73      127
42249   82      60      0
42249   80      73      0
42250   90      79      80
42250   92      53      80
42499   82      53      0
42500   92      52      80
42749   80      79      0
42750   90      79      80
42999   81      65      0
42999   82      52      0
43000   92      56      80
43000   91      61      80
43249   81      61      0
43250   91      61      80
43749   81      61      0
43749   80      79      0
43750   90      73      80
43750   91      67      80
43999   80      73      0
43999   82      56      0
44000   90      72      80
44000   92      55      80
44249   82      55      0
44250   92      52      80
44499   80      72      0
44500   90      82      80
44749   81      67      0
44749   82      52      0
44750   92      58      80
44750   91      65      80
44999   81      65      0
45000   91      70      127
45499   80      82      0
45499   81      70      0
45500   91      67      80
45500   90      77      80
45749   80      77      0
45749   82      58      0
45750   90      80      80
45750   92      52      80
45999   82      52      0
46000   92      60      80
46249   80      80      0
46250   90      77      80
46499   82      60      0
46499   81      67      0
46500   92      60      127
46500   91      64      127
46749   81      64      0
46750   91      65      80
47249   81      65      0
47249   80      77      0
47250   91      72      80
47250   90      76      80
47499   82      60      0
47499   80      76      0
47500   90      76      80
47500   92      49      80
47749   82      49      0
47750   92      55      80
47999   80      76      0
48000   90      79      127
48249   81      72      0
48249   82      55      0
48250   92      52      80
48250   91      67      80
48499   81      67      0
48500   91      65      80
48999   80      79      0
48999   81      65      0
49000   91      61      80
49000   90      77      80
49249   82      52      0
49249   80      77      0
49250   92      58      80
49250   90      82      80
49499   82      58      0
49500   92      55      127
49749   80      82      0
49750   90      77      80
49999   81      61      0
49999   82      55      0
50000   91      72      80
50000   92      58      80
50249   81      72      0
50250   91      64      80
50749   80      77      0
50749   81      64      0
50750   91      65      80
50750   90      73      80
50999   82      58      0
50999   80      73      0
51000   90      77      127
51000   92      53      127
51249   82      53      0
51250   92      60      80
51499   80      77      0
51500   90      76      80
51749   81      65      0
51749   82      60      0
51750   91      60      80
51750   92      56      80
51999   81      60      0
52000   91      60      80
52499   81      60      0
52499   80      76      0
52500   90      80      127
52500   91      61      127
52749   80      80      0
52749   82      56      0
52750   92      53      80
52750   90      80      80
52999   82      53      0
53000   92      55      80
53249   80      80      0
53250   90      80      80
53499   81      61      0
53499   82      55      0
53500   91      64      80
53500   92      55      80
53749   81      64      0
53750   91      65      80
54249   81      65      0
54249   80      80      0
54250   91      61      80
54250   90      82      80
54499   80      82      0
54499   82      55      0
54500   90      84      80
54500   92      48      80
54749   82      48      0
54750   92      52      80
54999   80      84      0
55000   90      77      80
55249   82      52      0
55249   81      61      0
55250   92      55      80
55250   91      64      80
55499   81      64      0
55500   91      72      127
55999   80      77      0
55999   81      72      0
56000   90      77      80
56000   91      67      80
56249   82      55      0
56249   80      77      0
56250   90      80      80
56250   92      53      80
56499   82      53      0
56500   92      52      80
56749   80      80      0
56750   90      84      80
56999   82      52      0
56999   81      67      0
57000   92      53      127
57000   91      72      127
57249   81      72      0
57250   91      68      80
57749   81      68      0
57749   80      84      0
57750   90      84      80
57750   91      67      80
57999   82      53      0
57999   80      84      0
58000   90      72      80
58000   92      53      80
58249   82      53      0
58250   92      60      80
58499   80      72      0
58500   90      79      127
58749   82      60      0
58749   81      67      0
58750   92      56      80
58750   91      68      80
58999   81      68      0
59000   91      60      80
59499   80      79      0
59499   81      60      0
59500   91      72      80
59500   90      80      80
59749   80      80      0
59749   82      56      0
59750   90      84      80
59750   92      52      80
59999   82      52      0
60249   80      84      0
60499   81      72      0
